Date,A,B,C
4/30/2014,0.021653586,-0.0019,0.0215
5/31/2014,0.028396938,0.0249,0.0245
6/30/2014,0.022867003,0.0114,0.0038
7/31/2014,-0.026719931,0.0311,-0.0226
8/31/2014,0.030952748,0.0097,0.0444
9/30/2014,-0.041832885,-0.0108,-0.0082
10/31/2014,-0.007737587,0.0413,0.0432
11/30/2014,0.019432376,0.0369,0.0628
12/31/2014,0.002635417,0.0231,0.0073
1/31/2015,0.096620104,-0.0186,0.0356
2/28/2015,0.036178407,-0.0355,0.001
3/31/2015,0.039939767,0.029,0.0246
4/30/2015,-0.0109489,-0.0307,-0.0321
5/31/2015,0.022052242,0.0238,0.0007
6/30/2015,-0.038901983,-0.0192,-0.0314
7/31/2015,0.014481993,0.0268,0.0395
8/31/2015,-0.067042369,-0.0025,-0.046
9/30/2015,0.001430399,0.0569,0.0363
10/31/2015,0.036185356,-0.0118,-0.0145
11/30/2015,0.014147713,-0.0015,0.0352
12/31/2015,-0.034197039,0.0144,-0.015
1/31/2016,0.010518789,-0.0045,0.0385
2/29/2016,-0.057704943,-0.0148,0.0213
3/31/2016,-0.015985481,-0.009,-0.0305
4/30/2016,-0.018251706,-0.012,-0.0145
5/31/2016,0.001056289,-0.0164,-0.0155
6/30/2016,-0.027728774,0.0455,0.0531
7/31/2016,0.004674141,-0.0002,0.0099
8/31/2016,0.012931351,-0.0035,-0.018
9/30/2016,0.007437362,-0.0039,-0.0022
10/31/2016,0.09512465,0.007,-0.0255
11/30/2016,0.02078603,-0.0078,-0.0115
12/31/2016,0.029100765,0.0077,0.0159
1/31/2017,-0.008017106,-0.005338203,-0.0104
2/28/2017,0.014360629,0.013555774,0.0235
3/31/2017,0.023893667,-0.022847141,0.0009
4/30/2017,-0.016762048,-0.004391201,-0.0064
5/31/2017,-0.020432178,-0.008047684,0.0027
6/30/2017,-0.002236276,0.007451571,-0.0179
7/31/2017,-0.00062006,0.031104728,-0.0002
8/31/2017,0.006213689,0.023475345,0.0264
9/30/2017,0.005258147,-4.62E-05,-0.0162
10/31/2017,0.028377054,0.011650796,0.0397
11/30/2017,0.006140283,0.011136828,0.004
12/31/2017,0.007807888,0.005922146,0.0373
1/31/2018,0.054713741,0.034421507,0.0465
2/28/2018,0.023911794,-0.038229464,-0.0618
3/31/2018,-0.019482683,-0.004096693,-0.002
4/30/2018,-0.008497987,-0.017703098,0.018
5/31/2018,0.005432062,-0.046740832,-0.0065
6/30/2018,0.023660416,-0.035082367,0.0205
7/31/2018,-0.014359716,0.00925768,0.0022
8/31/2018,-0.028353682,-0.005082402,0.0129
9/30/2018,0.014666148,0.004422164,-0.0019
10/31/2018,0.061621743,-0.008716012,-0.0191
11/30/2018,-0.010933376,-0.007431798,0.0269
12/31/2018,0.092212269,-0.008958515,-0.03
1/31/2019,-0.043,0.01570684,-0.0129
2/28/2019,-0.002,0.00796857,0.009
3/31/2019,-0.00652156,0.0018,0.0184
